Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
rs16_1;rs;;РП16 РШ1;true;11;0;0;1;0;1;true;РП16 РШ1 Включен;true;РП16 РШ1 Выключен;;;0;0;0;;0;0
rs16_1gr;rs;;РП16 РШ1;true;11;0;0;1;0;1;true;РП16 РШ1 Заземлен;true;РП16 РШ1 Не заземлен;;;0;0;0;;0;0
rs16_1sh;rs;;РП16 РШ1;true;11;0;0;1;0;1;true;РП16 РШ1 Зашунтирован;true;РП16 РШ1 Не зашунтирован;;;0;0;0;;0;0
rs16_2;rs;;РП16 РШ2;true;11;0;0;1;0;1;true;РП16 РШ2 Включен;true;РП16 РШ2 Выключен;;;0;0;0;;0;0
rs16_2gr;rs;;РП16 РШ2;true;11;0;0;1;0;1;true;РП16 РШ2 Заземлен;true;РП16 РШ2 Не заземлен;;;0;0;0;;0;0
rs16_2sh;rs;;РП16 РШ2;true;11;0;0;1;0;1;true;РП16 РШ2 Зашунтирован;true;РП16 РШ2 Не зашунтирован;;;0;0;0;;0;0
rs16_3;rs;;РП16 РШ3;true;11;0;0;1;0;1;true;РП16 РШ3 Включен;true;РП16 РШ3 Выключен;;;0;0;0;;0;0
rs16_3gr;rs;;РП16 РШ3;true;11;0;0;1;0;1;true;РП16 РШ3 Заземлен;true;РП16 РШ3 Не заземлен;;;0;0;0;;0;0
rs16_3sh;rs;;РП16 РШ3;true;11;0;0;1;0;1;true;РП16 РШ3 Зашунтирован;true;РП16 РШ3 Не зашунтирован;;;0;0;0;;0;0
rs16_4;rs;;РП16 РШ4;true;11;0;0;1;0;1;true;РП16 РШ4 Включен;true;РП16 РШ4 Выключен;;;0;0;0;;0;0
rs16_4gr;rs;;РП16 РШ4;true;11;0;0;1;0;1;true;РП16 РШ4 Заземлен;true;РП16 РШ4 Не заземлен;;;0;0;0;;0;0
rs16_4sh;rs;;РП16 РШ4;true;11;0;0;1;0;1;true;РП16 РШ4 Зашунтирован;true;РП16 РШ4 Не зашунтирован;;;0;0;0;;0;0
rs16_5;rs;;РП16 РШ5;true;11;0;0;1;0;1;true;РП16 РШ5 Включен;true;РП16 РШ5 Выключен;;;0;0;0;;0;0
rs16_5gr;rs;;РП16 РШ5;true;11;0;0;1;0;1;true;РП16 РШ5 Заземлен;true;РП16 РШ5 Не заземлен;;;0;0;0;;0;0
rs16_5sh;rs;;РП16 РШ5;true;11;0;0;1;0;1;true;РП16 РШ5 Зашунтирован;true;РП16 РШ5 Не зашунтирован;;;0;0;0;;0;0
rs721_1;rs;;ТП721 РШ1;true;11;0;0;1;0;1;true;ТП721 РШ1 Включен;true;ТП721 РШ1 Выключен;;;0;0;0;;0;0
rs721_1gr;rs;;ТП721 РШ1;true;11;0;0;1;0;1;true;ТП721 РШ1 Заземлен;true;ТП721 РШ1 Не заземлен;;;0;0;0;;0;0
rs721_1sh;rs;;ТП721 РШ1;true;11;0;0;1;0;1;true;ТП721 РШ1 Зашунтирован;true;ТП721 РШ1 Не зашунтирован;;;0;0;0;;0;0
rs721_2;rs;;ТП721 РШ2;true;11;0;0;1;0;1;true;ТП721 РШ2 Включен;true;ТП721 РШ2 Выключен;;;0;0;0;;0;0
rs721_2gr;rs;;ТП721 РШ2;true;11;0;0;1;0;1;true;ТП721 РШ2 Заземлен;true;ТП721 РШ2 Не заземлен;;;0;0;0;;0;0
rs721_2sh;rs;;ТП721 РШ2;true;11;0;0;1;0;1;true;ТП721 РШ2 Зашунтирован;true;ТП721 РШ2 Не зашунтирован;;;0;0;0;;0;0
rs765_1;rs;;ТП765 РШ1;true;11;0;0;1;0;1;true;ТП765 РШ1 Включен;true;ТП765 РШ1 Выключен;;;0;0;0;;0;0
rs765_1gr;rs;;ТП765 РШ1;true;11;0;0;1;0;1;true;ТП765 РШ1 Заземлен;true;ТП765 РШ1 Не заземлен;;;0;0;0;;0;0
rs765_1sh;rs;;ТП765 РШ1;true;11;0;0;1;0;1;true;ТП765 РШ1 Зашунтирован;true;ТП765 РШ1 Не зашунтирован;;;0;0;0;;0;0
rs765_2;rs;;ТП765 РШ2;true;11;0;0;1;0;1;true;ТП765 РШ2 Включен;true;ТП765 РШ2 Выключен;;;0;0;0;;0;0
rs765_2gr;rs;;ТП765 РШ2;true;11;0;0;1;0;1;true;ТП765 РШ2 Заземлен;true;ТП765 РШ2 Не заземлен;;;0;0;0;;0;0
rs765_2sh;rs;;ТП765 РШ2;true;11;0;0;1;0;1;true;ТП765 РШ2 Зашунтирован;true;ТП765 РШ2 Не зашунтирован;;;0;0;0;;0;0
rs739_1;rs;;ТП739 РШ1;true;11;0;0;1;0;1;true;ТП739 РШ1 Включен;true;ТП739 РШ1 Выключен;;;0;0;0;;0;0
rs739_1gr;rs;;ТП739 РШ1;true;11;0;0;1;0;1;true;ТП739 РШ1 Заземлен;true;ТП739 РШ1 Не заземлен;;;0;0;0;;0;0
rs739_1sh;rs;;ТП739 РШ1;true;11;0;0;1;0;1;true;ТП739 РШ1 Зашунтирован;true;ТП739 РШ1 Не зашунтирован;;;0;0;0;;0;0
rs739_2;rs;;ТП739 РШ2;true;11;0;0;1;0;1;true;ТП739 РШ2 Включен;true;ТП739 РШ2 Выключен;;;0;0;0;;0;0
rs739_2gr;rs;;ТП739 РШ2;true;11;0;0;1;0;1;true;ТП739 РШ2 Заземлен;true;ТП739 РШ2 Не заземлен;;;0;0;0;;0;0
rs739_2sh;rs;;ТП739 РШ2;true;11;0;0;1;0;1;true;ТП739 РШ2 Зашунтирован;true;ТП739 РШ2 Не зашунтирован;;;0;0;0;;0;0
rs174_1;rs;;ТП174 РШ1;true;11;0;0;1;0;1;true;ТП174 РШ1 Включен;true;ТП174 РШ1 Выключен;;;0;0;0;;0;0
rs174_1gr;rs;;ТП174 РШ1;true;11;0;0;1;0;1;true;ТП174 РШ1 Заземлен;true;ТП174 РШ1 Не заземлен;;;0;0;0;;0;0
rs174_1sh;rs;;ТП174 РШ1;true;11;0;0;1;0;1;true;ТП174 РШ1 Зашунтирован;true;ТП174 РШ1 Не зашунтирован;;;0;0;0;;0;0
rs174_2;rs;;ТП174 РШ2;true;11;0;0;1;0;1;true;ТП174 РШ2 Включен;true;ТП174 РШ2 Выключен;;;0;0;0;;0;0
rs174_2gr;rs;;ТП174 РШ2;true;11;0;0;1;0;1;true;ТП174 РШ2 Заземлен;true;ТП174 РШ2 Не заземлен;;;0;0;0;;0;0
rs174_2sh;rs;;ТП174 РШ2;true;11;0;0;1;0;1;true;ТП174 РШ2 Зашунтирован;true;ТП174 РШ2 Не зашунтирован;;;0;0;0;;0;0
rs776_1;rs;;ТП776 РШ1;true;11;0;0;1;0;1;true;ТП776 РШ1 Включен;true;ТП776 РШ1 Выключен;;;0;0;0;;0;0
rs776_1gr;rs;;ТП776 РШ1;true;11;0;0;1;0;1;true;ТП776 РШ1 Заземлен;true;ТП776 РШ1 Не заземлен;;;0;0;0;;0;0
rs776_1sh;rs;;ТП776 РШ1;true;11;0;0;1;0;1;true;ТП776 РШ1 Зашунтирован;true;ТП776 РШ1 Не зашунтирован;;;0;0;0;;0;0
rs776_2;rs;;ТП776 РШ2;true;11;0;0;1;0;1;true;ТП776 РШ2 Включен;true;ТП776 РШ2 Выключен;;;0;0;0;;0;0
rs776_2gr;rs;;ТП776 РШ2;true;11;0;0;1;0;1;true;ТП776 РШ2 Заземлен;true;ТП776 РШ2 Не заземлен;;;0;0;0;;0;0
rs776_2sh;rs;;ТП776 РШ2;true;11;0;0;1;0;1;true;ТП776 РШ2 Зашунтирован;true;ТП776 РШ2 Не зашунтирован;;;0;0;0;;0;0
rs750_1;rs;;ТП750 РШ1;true;11;0;0;1;0;1;true;ТП750 РШ1 Включен;true;ТП750 РШ1 Выключен;;;0;0;0;;0;0
rs750_1gr;rs;;ТП750 РШ1;true;11;0;0;1;0;1;true;ТП750 РШ1 Заземлен;true;ТП750 РШ1 Не заземлен;;;0;0;0;;0;0
rs750_1sh;rs;;ТП750 РШ1;true;11;0;0;1;0;1;true;ТП750 РШ1 Зашунтирован;true;ТП750 РШ1 Не зашунтирован;;;0;0;0;;0;0
rs750_2;rs;;ТП750 РШ2;true;11;0;0;1;0;1;true;ТП750 РШ2 Включен;true;ТП750 РШ2 Выключен;;;0;0;0;;0;0
rs750_2gr;rs;;ТП750 РШ2;true;11;0;0;1;0;1;true;ТП750 РШ2 Заземлен;true;ТП750 РШ2 Не заземлен;;;0;0;0;;0;0
rs750_2sh;rs;;ТП750 РШ2;true;11;0;0;1;0;1;true;ТП750 РШ2 Зашунтирован;true;ТП750 РШ2 Не зашунтирован;;;0;0;0;;0;0
rs20_1;rs;;ТП20 РШ1;true;11;0;0;1;0;1;true;ТП20 РШ1 Включен;true;ТП20 РШ1 Выключен;;;0;0;0;;0;0
rs20_1gr;rs;;ТП20 РШ1;true;11;0;0;1;0;1;true;ТП20 РШ1 Заземлен;true;ТП20 РШ1 Не заземлен;;;0;0;0;;0;0
rs20_1sh;rs;;ТП20 РШ1;true;11;0;0;1;0;1;true;ТП20 РШ1 Зашунтирован;true;ТП20 РШ1 Не зашунтирован;;;0;0;0;;0;0
