Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
rz175;rz;Р175;;true;11;0;0;1;0;1;true;Р175 Включен;true;Р175 Вылючен;;;0;0;0;;0;0
rz175sh;rz;Р175;;true;11;0;0;1;0;1;true;Р175 Зашунтирован;true;Р175 Не зашунтирован;;;0;0;0;;0;0
rztp160;rz;Р ТП160;;true;11;0;0;1;0;1;true;Р ТП160 Включен;true;Р ТП160 Вылючен;;;0;0;0;;0;0
rztp160sh;rz;Р ТП160;;true;11;0;0;1;0;1;true;Р ТП160 Зашунтирован;true;Р ТП160 Не зашунтирован;;;0;0;0;;0;0
rztp379;rz;Р ТП379;;true;11;0;0;1;0;1;true;Р ТП379 Включен;true;Р ТП379 Вылючен;;;0;0;0;;0;0
rztp379sh;rz;Р ТП379;;true;11;0;0;1;0;1;true;Р ТП379 Зашунтирован;true;Р ТП379 Не зашунтирован;;;0;0;0;;0;0
rztp321;rz;Р ТП321;;true;11;0;0;1;0;1;true;Р ТП321 Включен;true;Р ТП321 Вылючен;;;0;0;0;;0;0
rztp321sh;rz;Р ТП321;;true;11;0;0;1;0;1;true;Р ТП321 Зашунтирован;true;Р ТП321 Не зашунтирован;;;0;0;0;;0;0
rztp272;rz;Р ТП272;;true;11;0;0;1;0;1;true;Р ТП272 Включен;true;Р ТП272 Вылючен;;;0;0;0;;0;0
rztp272sh;rz;Р ТП272;;true;11;0;0;1;0;1;true;Р ТП272 Зашунтирован;true;Р ТП272 Не зашунтирован;;;0;0;0;;0;0
rzvs48_1;rz;Р ВС48_1;;true;11;0;0;1;0;1;true;Р ВС48_1 Включен;true;Р ВС48_1 Вылючен;;;0;0;0;;0;0
rzvs48_1sh;rz;Р ВС48_1;;true;11;0;0;1;0;1;true;Р ВС48_1 Зашунтирован;true;Р ВС48_1 Не зашунтирован;;;0;0;0;;0;0
rzvs48_2;rz;Р ВС48_2;;true;11;0;0;1;0;1;true;Р ВС48_2 Включен;true;Р ВС48_2 Вылючен;;;0;0;0;;0;0
rzvs48_2sh;rz;Р ВС48_2;;true;11;0;0;1;0;1;true;Р ВС48_2 Зашунтирован;true;Р ВС48_2 Не зашунтирован;;;0;0;0;;0;0
rztp387;rz;Р ТП387;;true;11;0;0;1;0;1;true;Р ТП387 Включен;true;Р ТП387 Вылючен;;;0;0;0;;0;0
rztp387sh;rz;Р ТП387;;true;11;0;0;1;0;1;true;Р ТП387 Зашунтирован;true;Р ТП387 Не зашунтирован;;;0;0;0;;0;0
rztp20;rz;Р ТП20;;true;11;0;0;1;0;1;true;Р ТП20 Включен;true;Р ТП20 Вылючен;;;0;0;0;;0;0
rztp20sh;rz;Р ТП20;;true;11;0;0;1;0;1;true;Р ТП20 Зашунтирован;true;Р ТП20 Не зашунтирован;;;0;0;0;;0;0
