Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
tp2;tp;ТП-2;"с. Деревянное, школа (Л-5-17; 2х400/10; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-2 Включена;true;ТП-2 Отключена;;;0;0;0;;0;0
tp3;tp;ТП-3;"с. Деревянное, котельная (Л-5-17; 250/10; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-3 Включена;true;ТП-3 Отключена;;;0;0;0;;0;0
tp4;tp;ТП-4;"КШ-4 в д.Орзега (Ж/Д; ; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-4 Включена;true;ТП-4 Отключена;;;0;0;0;;0;0
tp5;tp;ТП-5;"с.Деревянное, ул.Лесная (Л-5-17; 250/10; дог. аренды № 9-12 от 31.01.12)";true;11;0;0;1;0;1;true;ТП-5 Включена;true;ТП-5 Отключена;;;0;0;0;;0;0
tp6;tp;ТП-6;"с.Деревянное, Хутор (Л-46П-19; 250/10; дог. аренды № 9-12 от 31.01.12)";true;11;0;0;1;0;1;true;ТП-6 Включена;true;ТП-6 Отключена;;;0;0;0;;0;0
tp7;tp;ТП-7;"п. Птицефабрика, школа, население (Л-48П-12; 1х315/10+1х630/10; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-7 Включена;true;ТП-7 Отключена;;;0;0;0;;0;0
tp8;tp;ТП-8;"п. Птицефабрика, население (Л-48П-12; 2х400/10; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-8 Включена;true;ТП-8 Отключена;;;0;0;0;;0;0
tp9;tp;ТП-9;"д. Кутижма, население (Ж/Д; 100/10; дог. аренды № 1 от 26.01.15)";true;11;0;0;1;0;1;true;ТП-9 Включена;true;ТП-9 Отключена;;;0;0;0;;0;0
tp10;tp;ТП-10;"ст.Вилла Гора, население (Ж/Д; 250/10; дог. аренды № 1 от 26.01.15)";true;11;0;0;1;0;1;true;ТП-10 Включена;true;ТП-10 Отключена;;;0;0;0;;0;0
tp11;tp;ТП-11;"д. Ужесельга, центр (Л-46П-20; 400/10; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-11 Включена;true;ТП-11 Отключена;;;0;0;0;;0;0
tp12;tp;ТП-12;"д. Косалма (Жилкин) (Л-2П-15; 100/10; не обслуживается)";true;11;0;0;1;0;1;true;ТП-12 Включена;true;ТП-12 Отключена;;;0;0;0;;0;0
tp13;tp;ТП-13;"д. Ужесельга  (Л-46П-20; 160/10; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-13 Включена;true;ТП-13 Отключена;;;0;0;0;;0;0
tp14 ;tp;ТП-14 ;"м. Шуйская Чупа (Дубов В.В.) (Л-18П-3; 100/6; не обслуживается)";true;11;0;0;1;0;1;true;ТП-14  Включена;true;ТП-14  Отключена;;;0;0;0;;0;0
tp15;tp;ТП-15;"ст. Шуйская, АЗС (Л-21-7; 63/6; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-15 Включена;true;ТП-15 Отключена;;;0;0;0;;0;0
tp16;tp;ТП-16;"ст. Шуйская (Петроз. КЭЧ) (Л-21-7; 250/6; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-16 Включена;true;ТП-16 Отключена;;;0;0;0;;0;0
tp17;tp;ТП-17;"ст. Шуйская (Карьялан Пуутуоте) (Л-21-7; 250/6; не обслуживается)";true;11;0;0;1;0;1;true;ТП-17 Включена;true;ТП-17 Отключена;;;0;0;0;;0;0
tp18;tp;ТП-18;"ст. Шуйская, д/сад (Л-21-7; 250/6; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-18 Включена;true;ТП-18 Отключена;;;0;0;0;;0;0
tp19;tp;ТП-19;"ст. Шуйская (""Пегас"") (Л-21-7; 1х400/6+1х630/6; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-19 Включена;true;ТП-19 Отключена;;;0;0;0;;0;0
tp20 ;tp;ТП-20 ;"ст. Шуйская, ул. Кондопожская (Л-21-7; 160/6; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-20  Включена;true;ТП-20  Отключена;;;0;0;0;;0;0
tp21;tp;ТП-21;"д. Шуйская Чупа (Л-2П-15; 100/10; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-21 Включена;true;ТП-21 Отключена;;;0;0;0;;0;0
tp22;tp;ТП-22;"д. Царевичи (Л-2П-15; 160/10; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-22 Включена;true;ТП-22 Отключена;;;0;0;0;;0;0
tp23;tp;ТП-23;"д. Косалма, б/о Петроз.  эл. сети (Л-2П-15; 400/10; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-23 Включена;true;ТП-23 Отключена;;;0;0;0;;0;0
tp24;tp;ТП-24;"д. Косалма (турбаза) (Л-2П-15; 250/10; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-24 Включена;true;ТП-24 Отключена;;;0;0;0;;0;0
tp25;tp;ТП-25;"д. Верховье (дача Горсовета) (Л-18П-3; 100/6; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-25 Включена;true;ТП-25 Отключена;;;0;0;0;;0;0
tp26;tp;ТП-26;"д. Верховье (Хутор) (Л-21-7; 100/6; дог. аренды № 9-12 от 31.01.12)";true;11;0;0;1;0;1;true;ТП-26 Включена;true;ТП-26 Отключена;;;0;0;0;;0;0
tp27;tp;ТП-27;"РПБ (псих.) (Л-2П-15; 250/10; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-27 Включена;true;ТП-27 Отключена;;;0;0;0;;0;0
tp28;tp;ТП-28;"д. Шуйская Чупа (дачи ХОЗУ) (Л-18П-3; 250/6; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-28 Включена;true;ТП-28 Отключена;;;0;0;0;;0;0
tp29;tp;ТП-29;"д. Шуйская Чупа (база президента) (Л-21-11; 2х630/6+1х400/6; АО ""ПСК"")";true;11;0;0;1;0;1;true;ТП-29 Включена;true;ТП-29 Отключена;;;0;0;0;;0;0
tp30;tp;ТП-30;"м. Кончезеро ""Авиаретро"" (Л-21-7; 315/6; не обслуживается)";true;11;0;0;1;0;1;true;ТП-30 Включена;true;ТП-30 Отключена;;;0;0;0;;0;0
