Name;;;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vv1_41;;;vv;ПС1 В41;ПС1 В41 Петрозаводск;true;11;0;0;1;0;1;true;ПС1 В41 Включен;true;ПС1 В41 Выключен;;;0;0;0;;0;0
vv1_42;;;vv;ПС1 В42;ПС1 В42 Петрозаводск;true;11;0;0;1;0;1;true;ПС1 В42 Включен;true;ПС1 В42 Выключен;;;0;0;0;;0;0
vv2_15;;;vv;ПС2П В15;ПС2П В15 п.Концезеро;true;11;0;0;1;0;1;true;ПС2П В15 Включен;true;ПС2П В15 Выключен;;;0;0;0;;0;0
vv2_20;;;vv;ПС2П В20;ПС2П В20 п.Концезеро;true;11;0;0;1;0;1;true;ПС2П В20 Включен;true;ПС2П В20 Выключен;;;0;0;0;;0;0
vv2_13;;;vv;ПС2П В13;ПС2П В13 п.Концезеро;true;11;0;0;1;0;1;true;ПС2П В13 Включен;true;ПС2П В13 Выключен;;;0;0;0;;0;0
vv3_16;;;vv;ПС3П В16;ПС3П В16;true;11;0;0;1;0;1;true;ПС3П В16 Включен;true;ПС3П В16 Выключен;;;0;0;0;;0;0
vv3_20;;;vv;ПС3П В20;ПС3П В20;true;11;0;0;1;0;1;true;ПС3П В20 Включен;true;ПС3П В20 Выключен;;;0;0;0;;0;0
vv5_28;;;vv;ПС5 В28;ПС5 В28 ст. Деревянко;true;11;0;0;1;0;1;true;ПС5 В28 Включен;true;ПС5 В28 Выключен;;;0;0;0;;0;0
vv5_19;;;vv;ПС5 В19;ПС5 В19 ст. Деревянко;true;11;0;0;1;0;1;true;ПС5 В19 Включен;true;ПС5 В19 Выключен;;;0;0;0;;0;0
vv5_2;;;vv;ПС5 В2;ПС5 В2 ст.Пай;true;11;0;0;1;0;1;true;ПС5 В2 Включен;true;ПС5 В2 Выключен;;;0;0;0;;0;0
vv5_5;;;vv;ПС5 В5;ПС5 В5 ст.Пай;true;11;0;0;1;0;1;true;ПС5 В5 Включен;true;ПС5 В5 Выключен;;;0;0;0;;0;0
vv6_2;;;vv;ПС6 В2;ПС6 В2 ст. Пай;true;11;0;0;1;0;1;true;ПС6 В2 Включен;true;ПС6 В2 Выключен;;;0;0;0;;0;0
vv6_5;;;vv;ПС6 В5;ПС6 В5 ст. Пай;true;11;0;0;1;0;1;true;ПС6 В5 Включен;true;ПС6 В5 Выключен;;;0;0;0;;0;0
vv18_3;;;vv;ПС18П В3;ПС18П В3 г-н Бесовец;true;11;0;0;1;0;1;true;ПС18П В3 Включен;true;ПС18П В3 Выключен;;;0;0;0;;0;0
vv18_19;;;vv;ПС18П В19;ПС18П В19 г-н Бесовец;true;11;0;0;1;0;1;true;ПС18П В19 Включен;true;ПС18П В19 Выключен;;;0;0;0;;0;0
vv18_8;;;vv;ПС18П В8;ПС18П В8 г-н Бесовец;true;11;0;0;1;0;1;true;ПС18П В8 Включен;true;ПС18П В8 Выключен;;;0;0;0;;0;0
vv18_13;;;vv;ПС18П В13;ПС18П В13 г-н Бесовец;true;11;0;0;1;0;1;true;ПС18П В13 Включен;true;ПС18П В13 Выключен;;;0;0;0;;0;0
vv18_12;;;vv;ПС18П В12;ПС18П В12 г-н Бесовец;true;11;0;0;1;0;1;true;ПС18П В12 Включен;true;ПС18П В12 Выключен;;;0;0;0;;0;0
vv18_9;;;vv;ПС18П В9;ПС18П В9 г-н Бесовец;true;11;0;0;1;0;1;true;ПС18П В9 Включен;true;ПС18П В9 Выключен;;;0;0;0;;0;0
vv18_2;;;vv;ПС18П В2;ПС18П В2 г-н Бесовец;true;11;0;0;1;0;1;true;ПС18П В2 Включен;true;ПС18П В2 Выключен;;;0;0;0;;0;0
vv21_18;;;vv;ПС21 В18;ПС21 В18 Шуя;true;11;0;0;1;0;1;true;ПС21 В18 Включен;true;ПС21 В18 Выключен;;;0;0;0;;0;0
vv21_7;;;vv;ПС21 В7;ПС21 В7 Шуя;true;11;0;0;1;0;1;true;ПС21 В7 Включен;true;ПС21 В7 Выключен;;;0;0;0;;0;0
vv21_11;;;vv;ПС21 В11;ПС21 В11 Шуя;true;11;0;0;1;0;1;true;ПС21 В11 Включен;true;ПС21 В11 Выключен;;;0;0;0;;0;0
vv21_12;;;vv;ПС21 В12;ПС21 В12 Шуя;true;11;0;0;1;0;1;true;ПС21 В12 Включен;true;ПС21 В12 Выключен;;;0;0;0;;0;0
vv21_1;;;vv;ПС21 В1;ПС21 В1 Шуя;true;11;0;0;1;0;1;true;ПС21 В1 Включен;true;ПС21 В1 Выключен;;;0;0;0;;0;0
vv21_19;;;vv;ПС21 В19;ПС21 В19 Шуя;true;11;0;0;1;0;1;true;ПС21 В19 Включен;true;ПС21 В19 Выключен;;;0;0;0;;0;0
vv22_1;;;vv;ПС22П В1;ПС22П В1 д. Педасельга;true;11;0;0;1;0;1;true;ПС22П В1 Включен;true;ПС22П В1 Выключен;;;0;0;0;;0;0
vv22_13;;;vv;ПС22П В13;ПС22П В13 д. Педасельга;true;11;0;0;1;0;1;true;ПС22П В13 Включен;true;ПС22П В13 Выключен;;;0;0;0;;0;0
vv23_18;;;vv;ПС23 В18;ПС23 В18 Заозерье;true;11;0;0;1;0;1;true;ПС23 В18 Включен;true;ПС23 В18 Выключен;;;0;0;0;;0;0
vv23_15;;;vv;ПС23 В15;ПС23 В15 ???В5;true;11;0;0;1;0;1;true;ПС23 В15 Включен;true;ПС23 В15 Выключен;;;0;0;0;;0;0
vv23_16;;;vv;ПС23 В16;ПС23 В16 Заозерье;true;11;0;0;1;0;1;true;ПС23 В16 Включен;true;ПС23 В16 Выключен;;;0;0;0;;0;0
vv23_6;;;vv;ПС23 В6;ПС23 В6 Заозерье;true;11;0;0;1;0;1;true;ПС23 В6 Включен;true;ПС23 В6 Выключен;;;0;0;0;;0;0
vv38_1;;;vv;ПС38П В1;ПС38П В1 Лососиное;true;11;0;0;1;0;1;true;ПС38П В1 Включен;true;ПС38П В1 Выключен;;;0;0;0;;0;0
vv38_2;;;vv;ПС38П В2;ПС38П В2 Лососиное;true;11;0;0;1;0;1;true;ПС38П В2 Включен;true;ПС38П В2 Выключен;;;0;0;0;;0;0
vv46_19;;;vv;ПС46П В19;ПС46П В19 п. Птицефабрика;true;11;0;0;1;0;1;true;ПС46П В19 Включен;true;ПС46П В19 Выключен;;;0;0;0;;0;0
vv46_20;;;vv;ПС46П В20;ПС46П В20 п. Птицефабрика;true;11;0;0;1;0;1;true;ПС46П В20 Включен;true;ПС46П В20 Выключен;;;0;0;0;;0;0
vv48_12;;;vv;ПС48П В12;ПС48П В12 Южная промзона;true;11;0;0;1;0;1;true;ПС48П В12 Включен;true;ПС48П В12 Выключен;;;0;0;0;;0;0
vv48_7;;;vv;ПС48П В7;ПС48П В7 Южная промзона;true;11;0;0;1;0;1;true;ПС48П В7 Включен;true;ПС48П В7 Выключен;;;0;0;0;;0;0
