Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;Val;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
rz1;rz;Р-1;Л-18П-19 отпайка на ТП-306 СОТ ''Сургубское'';false;11;0;0;1;0;1;true;Р-1 Включен;true;Р-1 Выключен;0;;0;0;0;0;0;3
rz2;rz;Р-2;Р-2;false;11;0;0;1;0;1;true;Р-2 Включен;true;Р-2 Выключен;0;;0;0;0;0;0;3
rz3;rz;Р-3;Л-2П-15 ввод в ТП-22 со стороны ТП-24(в ТП);false;11;0;0;1;0;1;true;Р-3 Включен;true;Р-3 Выключен;0;;0;0;0;0;0;3
rz4;rz;Р-4;Л-2П-15 ввод в ТП-22 со стороны ТП-1(в ТП);false;11;0;0;1;0;1;true;Р-4 Включен;true;Р-4 Выключен;1;;0;0;0;0;0;3
rz5;rz;Р-5;на ТП-41 ввод Л-5-17(в ТП);false;11;0;0;1;0;1;true;Р-5 Включен;true;Р-5 Выключен;1;;0;0;0;0;0;3
rz6;rz;Р-6;на ТП-41 ввод Л-22П-13;false;11;0;0;1;0;1;true;Р-6 Включен;true;Р-6 Выключен;1;;0;0;0;0;0;3
rz7;rz;Р-7;Л-46П-19 отпайка на ТП-278(на опоре №313);false;11;0;0;1;0;1;true;Р-7 Включен;true;Р-7 Выключен;0;;0;0;0;0;0;3
rz8;rz;Р-8;Л-18П-9 отпайка на ТП-329;false;11;0;0;1;0;1;true;Р-8 Включен;true;Р-8 Выключен;1;;0;0;0;0;0;3
rz9;rz;Р-9;спайка Л-38П-1 на ТП-50;false;11;0;0;1;0;1;true;Р-9 Включен;true;Р-9 Выключен;1;;0;0;0;0;0;3
rz10;rz;Р-10;Л-46П-20 отпайка на нефтебазу ВЛ(на опоре №12);false;11;0;0;1;0;1;true;Р-10 Включен;true;Р-10 Выключен;1;;0;0;0;0;0;3
rz11;rz;Р-11;Л-2П-15 у ВС-14 (ТП-1) в дер.Шуйская Чупа(на опоре №348);false;11;0;0;1;0;1;true;Р-11 Включен;true;Р-11 Выключен;1;;0;0;0;0;0;3
rz12;rz;Р-12;Л-82-4 отпайка на ТП-338;false;11;0;0;1;0;1;true;Р-12 Включен;true;Р-12 Выключен;1;;0;0;0;0;0;3
rz13;rz;Р-13;Л-18П-3 отпайка на ТП-147 (Тихий)(на опоре №128);false;11;0;0;1;0;1;true;Р-13 Включен;true;Р-13 Выключен;0;;0;0;0;0;0;3
rz14;rz;Р-14;Л-2П-15 у ВС-11 со стороны Кончезера(на опоре №160);false;11;0;0;1;0;1;true;Р-14 Включен;true;Р-14 Выключен;1;;0;0;0;0;0;3
rz15;rz;Р-15;Л-2П-15 между ПС-2П и Р-97;false;11;0;0;1;0;1;true;Р-15 Включен;true;Р-15 Выключен;1;;0;0;0;0;0;3
rz15_1;rz;Р-15-1;Л-18П-9 отпайка на ТП-138;false;11;0;0;1;0;1;true;Р-15-1 Включен;true;Р-15-1 Выключен;1;;0;0;0;0;0;3
rz16;rz;Р-16;Л-18П-9 в сторону ТП-363, ТП-335, ТП-407, ТП-408;false;11;0;0;1;0;1;true;Р-16 Включен;true;Р-16 Выключен;1;;0;0;0;0;0;3
rz17;rz;Р-17;на отпайке ВЛ-6 кВ, ф.Л-21-8, опоре №1, в сторону ТП-874, ТП-875;false;11;0;0;1;0;1;true;Р-17 Включен;true;Р-17 Выключен;1;;0;0;0;0;0;3
