Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;Val;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vn1;vn;ВН-1;ТП-374 ввод с Л-46П-20 (нефтебаза);false;11;0;0;1;0;1;true;ВН-1 Включен;true;ВН-1 Выключен;0;;0;0;0;0;0;3
vn2;vn;ВН-2;ТП-357 ввод с Л-5-28 (ст.Деревянка);false;11;0;0;1;0;1;true;ВН-2 Включен;true;ВН-2 Выключен;0;;0;0;0;0;0;3
vn3;vn;ВН-3;ТП-192 КЛ-10 кВ на РП-614 КОС (Южная Промзона);false;11;0;0;1;0;1;true;ВН-3 Включен;true;ВН-3 Выключен;1;;0;0;0;0;0;3
vn4;vn;ВН-4;Секционный между ТП-229 и ТП-230 Л-18П-13 (г-н Бесовец);false;11;0;0;1;0;1;true;ВН-4 Включен;true;ВН-4 Выключен;1;;0;0;0;0;0;3
vn5;vn;ВН-5;ТП-124 ввод в сторону ТП-230 (г-н Бесовец) (ЗН);false;11;0;0;1;0;1;true;ВН-5 Включен;true;ВН-5 Выключен;1;;0;0;0;0;0;3
vn6;vn;ВН-6;ТП-135 ввод Л-18П-2 (п.Чална);false;11;0;0;1;0;1;true;ВН-6 Включен;true;ВН-6 Выключен;1;;0;0;0;0;0;3
vn7;vn;ВН-7;ТП-135 вывод в сторону Падозеро (п.Чална);false;11;0;0;1;0;1;true;ВН-7 Включен;true;ВН-7 Выключен;1;;0;0;0;0;0;3
vn8;vn;ВН-8;ТП-18 ввод с Л-21-14 (ст.Шуйская) (ЗН);false;11;0;0;1;0;1;true;ВН-8 Включен;true;ВН-8 Выключен;1;;0;0;0;0;0;3
vn9;vn;ВН-9;ТП-18 вывод на ТП-19 (ст.Шуйская) (ЗН);false;11;0;0;1;0;1;true;ВН-9 Включен;true;ВН-9 Выключен;1;;0;0;0;0;0;3
vn10;vn;ВН-10;ТП-19 ввод с Л-21-14 (ст.Шуйская);false;11;0;0;1;0;1;true;ВН-10 Включен;true;ВН-10 Выключен;1;;0;0;0;0;0;3
vn11;vn;ВН-11;ТП-19 вывод на ТП-20 и ВС-6 (ст.Шуйская);false;11;0;0;1;0;1;true;ВН-11 Включен;true;ВН-11 Выключен;1;;0;0;0;0;0;3
