Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;Val;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vs1;vs;ВС-1;Л-18П-2 в близи П/ст 18П (Бесовец)(КРУН-6)(МТЗ)(ТОЛ-СЭЩ-1021 300/5)(ПСК);false;11;0;0;1;0;1;true;ВС-1 Включен;true;ВС-1 Выключен;1;;0;0;0;0;0;3
vs2;vs;ВС-2;между Л-18П-2 и Л-18П-9 в близи ТП-126 (п.Чална)(масленный)(РТВ)(ТПЛ-10УЗ 200/5)(ПСК);false;11;0;0;1;0;1;true;ВС-2 Включен;true;ВС-2 Выключен;1;;0;0;0;0;0;3
vs3;vs;ВС-3;Л-5-17 д.Уя(ПСК);false;11;0;0;1;0;1;true;ВС-3 Включен;true;ВС-3 Выключен;1;;0;0;0;0;0;3
vs4;vs;ВС-4;Л-21-7 отпайка на ст.Шуйская(КРУН-6)(МТЗ)(ТОЛ-СЭЩ-10-11 200/5)(ПСК);false;11;0;0;1;0;1;true;ВС-4 Включен;true;ВС-4 Выключен;1;;0;0;0;0;0;3
vs5;vs;ВС-5;РУ-6 кВ ТП-123 ''Городок'' Л-18П-3 (г-н Бесовец)(ПСК);false;11;0;0;1;0;1;true;ВС-5 Включен;true;ВС-5 Выключен;0;;0;0;0;0;0;3
vs6;vs;ВС-6;ст. Шуйской отпайка ВЛ-6 кВ Л-21-7 в сторону м. Лучевое(КРУН-6)(ПСК);false;11;0;0;1;0;1;true;ВС-6 Включен;true;ВС-6 Выключен;1;;0;0;0;0;0;3
vs7;vs;ВС-7;Л-18П-9 перед ТП-111(ПСК);false;11;0;0;1;0;1;true;ВС-7 Включен;true;ВС-7 Выключен;1;;0;0;0;0;0;3
vs8;vs;ВС-8;Л-38П-1 отпайка на п/л ''Искорка''(ПСК);false;11;0;0;1;0;1;true;ВС-8 Включен;true;ВС-8 Выключен;1;;0;0;0;0;0;3
vs9;vs;ВС-9;ВС-9;false;11;0;0;1;0;1;true;ВС-9 Включен;true;ВС-9 Выключен;0;;0;0;0;0;0;3
vs10;vs;ВС-10;Л-18П-9 отпайка на Порожки (п.Чална)(КРУН-6)(МТЗ)(ТОЛ-10-1-2 75/5)(ПСК);false;11;0;0;1;0;1;true;ВС-10 Включен;true;ВС-10 Выключен;1;;0;0;0;0;0;3
vs11;vs;ВС-11;Л-2П-15 ''Косалма-Кончезеро''(ПСК);false;11;0;0;1;0;1;true;ВС-11 Включен;true;ВС-11 Выключен;1;;0;0;0;0;0;3
vs12;vs;ВС-12;Л-82-4 отпайка на СОТ ''Монтажник'' (П.Сельга)(СОТ);false;11;0;0;1;0;1;true;ВС-12 Включен;true;ВС-12 Выключен;1;;0;0;0;0;0;3
vs13;vs;ВС-13;Л-82-4 отпайка на П.Сельгу (Л.Ветка)(ВВ/TEL-10-20/1000)(МТЗ)(ТОЛ-101-2 У2)(ПСК);false;11;0;0;1;0;1;true;ВС-13 Включен;true;ВС-13 Выключен;1;;0;0;0;0;0;3
vs14;vs;ВС-14;ОРУ-10 кВ ТП-1 со стороны Шуйской Чупы Л-2П-15(ПСК);false;11;0;0;1;0;1;true;ВС-14 Включен;true;ВС-14 Выключен;1;;0;0;0;0;0;3
vs15;vs;ВС-15;ОРУ-6 кВ ТП-1 (1600 кВА) со стороны Л-21-7(ПСК);false;11;0;0;1;0;1;true;ВС-15 Включен;true;ВС-15 Выключен;1;;0;0;0;0;0;3
vs16;vs;ВС-16;Л-18П-3 отпайка на ТП-365(КРУН-6)(Аэронавигация);false;11;0;0;1;0;1;true;ВС-16 Включен;true;ВС-16 Выключен;1;;0;0;0;0;0;3
vs17;vs;ВС-17;РУ-6 кВ ТП-29 с Л-21-7(ПСК);false;11;0;0;1;0;1;true;ВС-17 Включен;true;ВС-17 Выключен;0;;0;0;0;0;0;3
vs18;vs;ВС-18;РУ-6 кВ ТП-29 с Л-21-11(ПСК);false;11;0;0;1;0;1;true;ВС-18 Включен;true;ВС-18 Выключен;1;;0;0;0;0;0;3
vs19;vs;ВС-19;РУ-6 кВ ТП-29 секционный(ПСК);false;11;0;0;1;0;1;true;ВС-19 Включен;true;ВС-19 Выключен;0;;0;0;0;0;0;3
vs20;vs;ВС-20;РУ-6 кВ ТП-29 с Л-18П-3(ПСК);false;11;0;0;1;0;1;true;ВС-20 Включен;true;ВС-20 Выключен;1;;0;0;0;0;0;3
