Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;Val;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vv1_41;vv;ПС1 В41;ПС1 В41 Петрозаводск;false;11;0;0;1;0;1;true;ПС1 В41 Включен;true;ПС1 В41 Выключен;1;;0;0;0;0;0;3
vv1_42;vv;ПС1 В42;ПС1 В42 Петрозаводск;false;11;0;0;1;0;1;true;ПС1 В42 Включен;true;ПС1 В42 Выключен;1;;0;0;0;0;0;3
vv2_15;vv;ПС2П В15;ПС2П В15 п.Концезеро;false;11;0;0;1;0;1;true;ПС2П В15 Включен;true;ПС2П В15 Выключен;1;;0;0;0;0;0;3
vv2_20;vv;ПС2П В20;ПС2П В20 п.Концезеро;false;11;0;0;1;0;1;true;ПС2П В20 Включен;true;ПС2П В20 Выключен;0;;0;0;0;0;0;3
vv2_13;vv;ПС2П В13;ПС2П В13 п.Концезеро;false;11;0;0;1;0;1;true;ПС2П В13 Включен;true;ПС2П В13 Выключен;0;;0;0;0;0;0;3
vv5_17;vv;ПС5 В17;ПС5 В17 ст. Деревянко;false;11;0;0;1;0;1;true;ПС5 В17 Включен;true;ПС5 В17 Выключен;1;;0;0;0;0;0;3
vv5_27;vv;ПС5 В27;ПС5 В27 ст. Деревянко;false;11;0;0;1;0;1;true;ПС5 В27 Включен;true;ПС5 В27 Выключен;1;;0;0;0;0;0;3
vv5_28;vv;ПС5 В28;ПС5 В28 ст. Деревянко;false;11;0;0;1;0;1;true;ПС5 В28 Включен;true;ПС5 В28 Выключен;1;;0;0;0;0;0;3
vv5_19;vv;ПС5 В19;ПС5 В19 ст. Деревянко;false;11;0;0;1;0;1;true;ПС5 В19 Включен;true;ПС5 В19 Выключен;1;;0;0;0;0;0;3
vv5_2;vv;ПС5 В2;ПС5 В2 ст.Пай;false;11;0;0;1;0;1;true;ПС5 В2 Включен;true;ПС5 В2 Выключен;0;;0;0;0;0;0;3
vv5_5;vv;ПС5 В5;ПС5 В5 ст.Пай;false;11;0;0;1;0;1;true;ПС5 В5 Включен;true;ПС5 В5 Выключен;0;;0;0;0;0;0;3
