Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vn_1_721_1;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_721_1gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_721_1sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_721_2;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_721_2gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_721_2sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_765_1;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_765_1gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_765_1sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_765_2;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_765_2gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_765_2sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_739_1;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_739_1gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_739_1sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_739_2;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_739_2gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_739_2sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_174_1;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_174_1gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_174_1sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_174_2;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_174_2gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_174_2sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_776_1;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_776_1gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_776_1sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_776_2;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_776_2gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_776_2sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_750_1;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_750_1gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_750_1sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_750_2;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_750_2gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_750_2sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_791_1;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_791_1gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_791_1sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_791_2;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_791_2gr;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vn_1_791_2sh;vn;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
