Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
rz1;rz;;;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz2;rz;;"Л-18П-19 отпайка на ТП-306 СОТ ""Сургубское""";true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz3;rz;;;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz4;rz;;Л-2П-15 ввод в ТП-22 со стороны ТП-24;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz5;rz;;Л-2П-15 ввод в ТП-22 со стороны ТП-1;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz6;rz;;на ТП-41 ввод Л-5-17;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz7;rz;;на ТП-41 ввод Л-22П-13;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz8;rz;;Л-46П-19 отпайка на ТП-278;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz9;rz;;Л-18П-9 отпайка на ТП-329;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz10;rz;;спайка Л-38П-1 на ТП-50;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz11;rz;;Л-46П-20 отпайка на нефтебазу ВЛ;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz12;rz;;Л-2П-15 у ВС-14 (ТП-1) в дер.Шуйская Чупа;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz13;rz;;Л-82-4 отпайка на ТП-338;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz14;rz;;Л-18П-3 отпайка на ТП-147 (Тихий);true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz15;rz;;Л-2П-15 у ВС-11 со стороны Кончезера;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz15_1;rz;;Л-2П-15 между ПС-2П и Р-97;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz16;rz;;Л-18П-9 отпайка на ТП-138;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz17;rz;;Л-18П-9 в сторону ТП-363, ТП-335, ТП-407, ТП-408;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz18;rz;;на отпайке ВЛ-6 кВ, ф.Л-21-8, опоре №1, в сторону ТП-874, ТП-875;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz19;rz;;секционный Л-5-28 с Л-5-27;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz20;rz;;"Л-2П-15 отпайка на ТП-364 ""Ангозеро""";true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz21;rz;;"Л-18П-9 на участке ВС-10; ВС-34";true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz22;rz;;Л-46П-19 отпайка на СОТ Орзеги;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz23;rz;;;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz24;rz;;Л-18П-9 отпайка на ТП-139 (П/ст 90 330 кВ);true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz25;rz;;Л-18П-3 отпайка на ТП-324, ТП-112, ТП-113, ТП-114;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz26;rz;;Л-18П-2 ввод в ТП-104;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
rz27;rz;;Л-5-27 ввод в ТП-163 со стороны ТП-168;true;11;0;0;1;0;1;true;;true;;0;0;0;;0;0;0;0
