Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vn1;vn;;ТП-374 ввод с Л-46П-20 (нефтебаза);true;11;0;0;1;0;1;true;ВН-1 Включен;true;ВН-1 Выключен;;;0;0;0;;0;0
vn2;vn;;ТП-357 ввод с Л-5-28 (ст.Деревянка);true;11;0;0;1;0;1;true;ВН-2 Включен;true;ВН-2 Выключен;;;0;0;0;;0;0
vn3;vn;;ТП-192 КЛ-10 кВ на РП-614 КОС (Южная Промзона);true;11;0;0;1;0;1;true;ВН-3 Включен;true;ВН-3 Выключен;;;0;0;0;;0;0
vn4;vn;;Секционный между ТП-229 и ТП-230 Л-18П-13 (г-н Бесовец);true;11;0;0;1;0;1;true;ВН-4 Включен;true;ВН-4 Выключен;;;0;0;0;;0;0
vn5;vn;;ТП-124 ввод в сторону ТП-230 (г-н Бесовец) (ЗН);true;11;0;0;1;0;1;true;ВН-5 Включен;true;ВН-5 Выключен;;;0;0;0;;0;0
vn6;vn;;ТП-135 ввод Л-18П-2 (п.Чална);true;11;0;0;1;0;1;true;ВН-6 Включен;true;ВН-6 Выключен;;;0;0;0;;0;0
vn7;vn;;ТП-135 вывод в сторону Падозеро (п.Чална);true;11;0;0;1;0;1;true;ВН-7 Включен;true;ВН-7 Выключен;;;0;0;0;;0;0
vn8;vn;;ТП-18 ввод с Л-21-14 (ст.Шуйская) (ЗН);true;11;0;0;1;0;1;true;ВН-8 Включен;true;ВН-8 Выключен;;;0;0;0;;0;0
vn9;vn;;ТП-18 вывод на ТП-19 (ст.Шуйская) (ЗН);true;11;0;0;1;0;1;true;ВН-9 Включен;true;ВН-9 Выключен;;;0;0;0;;0;0
vn10;vn;;ТП-19 ввод с Л-21-14 (ст.Шуйская);true;11;0;0;1;0;1;true;ВН-10 Включен;true;ВН-10 Выключен;;;0;0;0;;0;0
vn11;vn;;ТП-19 вывод на ТП-20 и ВС-6 (ст.Шуйская);true;11;0;0;1;0;1;true;ВН-11 Включен;true;ВН-11 Выключен;;;0;0;0;;0;0
vn12;vn;;ТП-374 ввод Л-79-18 (Южная Промзона);true;11;0;0;1;0;1;true;ВН-12 Включен;true;ВН-12 Выключен;;;0;0;0;;0;0
vn13;vn;;ТП-375 вывод на ТП-374 2 секция шин (Нефтебаза);true;11;0;0;1;0;1;true;ВН-13 Включен;true;ВН-13 Выключен;;;0;0;0;;0;0
vn14;vn;;ТП-120 вывод на ТП-350 (г-н Бесовец) (ЗН);true;11;0;0;1;0;1;true;ВН-14 Включен;true;ВН-14 Выключен;;;0;0;0;;0;0
vn15;vn;;ТП-120 ввод с ТП-117 (1 зона) (г-н Бесовец);true;11;0;0;1;0;1;true;ВН-15 Включен;true;ВН-15 Выключен;;;0;0;0;;0;0
vn16;vn;;ТП-68 ввод с Л-82-11 (п.Ладва) (ЗН);true;11;0;0;1;0;1;true;ВН-16 Включен;true;ВН-16 Выключен;;;0;0;0;;0;0
