Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vs1;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs2;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs3;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs4;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs5;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs6;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs7;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs8;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs9;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs10;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs11;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs12;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs13;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs14;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs15;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs16;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs17;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs18;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs19;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs20;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs21;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs22;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs23;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
