Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vv1;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv2;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv3;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv4;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv5;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv6;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv7;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv8;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv9;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv10;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv11;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv12;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv13;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv14;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv15;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv16;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv17;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv18;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv19;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv20;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv21;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv22;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv23;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv24;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv25;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv26;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv27;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv28;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv41;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv42;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv1gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv2gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv3gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv4gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv5gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv6gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv7gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv8gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv9gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv10gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv11gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv12gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv13gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv14gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv15gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv16gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv17gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv18gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv19gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv20gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv21gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vv22gr;vv;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
